first,second
extended_traces,false
checked_round,0
extractor,nothing
record,"Function[Pigeons.traces, Pigeons.round_trip, Pigeons.log_sum_ratio, Pigeons.timing_extrema, Pigeons.allocation_extrema]"
multithreaded,false
show_report,true
n_chains,10
variational,"GaussianReference(Dict{Symbol, Any}(:singleton_variable => [4.871436526459961, -3.4818141070501842, 0.5814659045841619, 1.5903436971386784, -3.5644834956931994, -3.072292414623896]), Dict{Symbol, Any}(:singleton_variable => [0.6375399712482094, 0.6338194780041331, 0.05527881710528886, 0.12532374219416254, 0.05598256058603753, 0.2225296504146389]), 10)"
explorer,nothing
n_chains_variational,0
target,StanLogPotential(hmm_drive_0_model)
n_rounds,12
exec_folder,nothing
reference,nothing
checkpoint,false
seed,1
